,count,mean,std,min,25%,50%,75%,max
rate_level,59.0,3.1561016949152543,2.186540344730691,0.06,0.15000000000000002,4.33,5.1,5.33
rate_change,59.0,0.06779661016949153,0.19472410010249042,-0.2999999999999998,0.0,0.0,0.10000000000000003,0.6999999999999997
sp500_close,59.0,4797.429830508475,860.8410577542686,3585.62,4132.04,4522.68,5545.68,6840.2
monthly_return,59.0,0.011793148837200182,0.04400670095096725,-0.09339570164348932,-0.015979280120873074,0.02221397632316946,0.04302575449036883,0.09111634763220589
realized_vol,59.0,0.009730449918663071,0.004605252056850558,0.004042241706201109,0.006910874245597757,0.008587112638629846,0.011301553950785352,0.031094794111255607
ret_1m_fwd,59.0,0.010901094818976291,0.04401786151914206,-0.09339570164348932,-0.01661310644860553,0.021666572655702376,0.04302575449036883,0.09111634763220589
ret_3m_fwd,57.0,0.03347498004972749,0.0665728571195996,-0.1644508995874545,-0.012910327267181443,0.047806045603673075,0.07899971448357013,0.15543182793647747
ret_6m_fwd,54.0,0.0628945435743888,0.09921138718955703,-0.20854403906048236,0.004331161051385535,0.08068015552910368,0.13818514209757277,0.2282503690030273
